display_name,id,assembly_name,biotype,strand,seq_region_name,start,end,description
HSD3B1,ENSSSCG00000006719,Sscrofa10.2,protein_coding,-1,4,111555566,111564192,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase 3-beta-hydroxy-Delta(5)-steroid dehydrogenase Steroid Delta-isomerase [Source:UniProtKB/Swiss-Prot;Acc:Q9N119]
MAOA,ENSSSCG00000012257,Sscrofa10.2,protein_coding,-1,X,43132739,43209051,monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]
ITIH4,ENSSSCG00000011453,Sscrofa10.2,protein_coding,1,13,38197433,38208928,inter-alpha-trypsin inhibitor heavy chain family member 4 [Source:HGNC Symbol;Acc:HGNC:6169]
SRD5A1,ENSSSCG00000017103,Sscrofa10.2,protein_coding,-1,16,81668802,81694768,steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]
CYP11A1,ENSSSCG00000025273,Sscrofa10.2,protein_coding,-1,GL893363.2,159079,165974,cytochrome P450 family 11 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2590]
AR,ENSSSCG00000012371,Sscrofa10.2,protein_coding,1,X,60313335,60504856,androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]
GBP5,ENSSSCG00000024973,Sscrofa10.2,protein_coding,-1,4,139413791,139425247,guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]
MYBPC1,ENSSSCG00000000866,Sscrofa10.2,protein_coding,-1,5,86513955,86609182,"myosin binding protein C, slow type [Source:HGNC Symbol;Acc:HGNC:7549]"
,ENSSSCG00000026201,Sscrofa10.2,protein_coding,1,GL895457.1,28,819,
SAA1,ENSSSCG00000013369,Sscrofa10.2,protein_coding,-1,2,44024783,44025604,
DEFB128,ENSSSCG00000007214,Sscrofa10.2,protein_coding,1,17,39738338,39740099,defensin beta 128 [Source:HGNC Symbol;Acc:HGNC:18106]
MC1R,ENSSSCG00000020924,Sscrofa10.2,protein_coding,1,6,255611,256573,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor) [Source:HGNC Symbol;Acc:HGNC:6929]
HTR3A,ENSSSCG00000024497,Sscrofa10.2,protein_coding,1,9,46389573,46402872,5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297]
CAST,ENSSSCG00000014170,Sscrofa10.2,protein_coding,1,2,106934106,107128389,"Sus scrofa calpastatin (CAST), mRNA. [Source:RefSeq mRNA;Acc:NM_214067]"
